Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Built-up  Area,Not yet Ready,Hennur Road,3,,2264,3,1,159
Super built-up  Area,Not yet Ready,Dommasandra,3,,1033,2,2,25.53
Super built-up  Area,Not yet Ready,Kammasandra,2,Prony S,810,2,2,24.5
Super built-up  Area,Ready To Move,Green Garden Layout,2,PaisePa,1045,2,0,45
Super built-up  Area,Not yet Ready,Hebbal,2,Arcia S,1337,2,1,82
Super built-up  Area,Ready To Move,Chandapura,2,,1200,2,2,32
Super built-up  Area,Ready To Move,Koramangala,3,TealeRo,1580,3,2,160
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1500,2,3,54
Super built-up  Area,Not yet Ready,Whitefield,3,Umods W,1640,4,2,91
Super built-up  Area,Ready To Move,Silver Springs Layout,3,SSarlPe,1570,3,2,62
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1470,2,2,82
Super built-up  Area,Ready To Move,Kengeri,2,,1160,2,2,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,1050,2,1,71
Super built-up  Area,Not yet Ready,Dairy Circle,3,Soeurri,1855,3,1,225
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,1,90
Built-up  Area,Ready To Move,Hulimavu,3,,1823,3,2,100
Super built-up  Area,Ready To Move,Electronic City,2,Daives ,1094,2,2,42
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,57
Built-up  Area,Ready To Move,Hoysalanagar,3,PNncysi,1325,3,1,57
Plot  Area,Ready To Move,Parappana Agrahara,4,,1200,3,2,85
Built-up  Area,Ready To Move,Jakkur,3,Socon Z,1590,2,2,125
Plot  Area,Ready To Move,Jeevan bima nagar,5,,1210,4,2,160
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4,,1200,4,0,220
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2,Krite D,1202,2,1,48
Built-up  Area,Ready To Move,Haralur Road,2,,1202,2,1,53
Super built-up  Area,Ready To Move,KSRTC Layout,2,Srisei ,1200,2,3,62.5
Super built-up  Area,Not yet Ready,Panathur,3,Prcesvy,1688,3,1,118
Built-up  Area,Ready To Move,Kaval Byrasandra,2,Soestrn,1020,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,2,Coa 3t ,1185,2,2,47
Super built-up  Area,Not yet Ready,Ramagondanahalli,2,ViistLa,1235,2,1,52.04
Super built-up  Area,Ready To Move,Hosakerehalli,4,Taonte ,3205,5,1,500
Super built-up  Area,Ready To Move,Banashankari,2,,1077,2,2,37.64
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3,MB-laan,1415,2,3,66
Super built-up  Area,Not yet Ready,EPIP Zone,3,BrontLa,2330,3,2,162
Super built-up  Area,Ready To Move,Whitefield,2,JahanSa,805,2,2,35
Built-up  Area,Ready To Move,P&T Colony,1,,425,1,0,20.03
Super built-up  Area,Ready To Move,Whitefield,2,DNlleks,1155,2,3,59.95
Super built-up  Area,Ready To Move,Cunningham Road,4,,5270,4,3,1250
Super built-up  Area,Ready To Move,Anekal,2,,656,2,1,22
Built-up  Area,Ready To Move,New Gurappana Palya,2,Alncy R,1100,2,0,48
Super built-up  Area,Ready To Move,Mahadevpura,2,,1150,2,3,52
Plot  Area,Ready To Move,Chelekare,1,,600,1,1,60
Super built-up  Area,Ready To Move,Ambedkar Colony,2,RMcesa ,1468,2,1,140
Plot  Area,Ready To Move,Palanahalli,4,RMaanSa,4300,5,2,550
Super built-up  Area,Not yet Ready,Whitefield,3,Prtates,2280,4,2,126
Super built-up  Area,Ready To Move,Hegde Nagar,2,Soiniy ,1341,2,1,97
Super built-up  Area,Ready To Move,Jakkur,2,,1279,2,1,77
Super built-up  Area,Not yet Ready,Electronic City Phase II,4,SNbay G,2225,4,0,98.88
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43.51
Super built-up  Area,Ready To Move,Vadarpalya,3,VMianri,1750,3,2,85
Super built-up  Area,Ready To Move,Kudlu,2,GKityel,1152,2,1,53.5
Plot  Area,Ready To Move,Shivanagar,5,,1000,4,1,160
Super built-up  Area,Ready To Move,Hulimavu,2,Jaise P,1300,2,3,36
Plot  Area,Not yet Ready,Varthur Road,4,,2760,4,2,155
Super built-up  Area,Not yet Ready,5th Phase JP Nagar,2,,1070,2,2,39
Super built-up  Area,Ready To Move,Uttarahalli,2,Siayayo,1101,2,0,45
Super built-up  Area,Ready To Move,V.V Puram,2,,775,2,1,55
Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,667,1,1,36.85
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,55
Built-up  Area,Ready To Move,Old Airport Road,3,Trnce A,1875,2,2,110
Super built-up  Area,Ready To Move,Kundalahalli,2,Dieldli,735,2,1,57.99
Plot  Area,Ready To Move,Sarjapur,5,,4360,4,1,90
Super built-up  Area,Ready To Move,Koramangala,3,,1750,3,2,130
Super built-up  Area,Ready To Move,Marathahalli,2,PuilaMi,1215,2,1,67
Plot  Area,Ready To Move,Sector 3 HSR Layout,9,,600,9,3,190
Super built-up  Area,Ready To Move,Vishwapriya Layout,2,Prodsth,820,2,1,30
Super built-up  Area,Not yet Ready,Banashankari Stage VI,2,Brens7 ,1195,2,0,59.935
Super built-up  Area,Ready To Move,Battarahalli,3,PaontWa,1779,3,2,89.61
Built-up  Area,Ready To Move,HMT Layout,2,HMRWAyo,1105,2,2,58
Built-up  Area,Ready To Move,Basavanagara,1,,1000,2,1,93
Super built-up  Area,Ready To Move,Whitefield,3,UKkente,1650,3,2,60
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,1694,2,2,150
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2376,3,1,203
Super built-up  Area,Ready To Move,Cox Town,3,,1975,3,3,150
Super built-up  Area,Ready To Move,Kammasandra,2,Icingpy,674,2,1,33
Super built-up  Area,Ready To Move,Kaggadasapura,2,SLireap,1185,2,1,41
Super built-up  Area,Ready To Move, Thanisandra,1,Bhmesy ,445,1,0,28
Built-up  Area,Ready To Move,Mylasandra,6,VaitySe,900,7,,76
Super built-up  Area,Ready To Move,HSR Layout,3,,1475,3,2,75
Super built-up  Area,Ready To Move,Gottigere,3,Sklls C,1618,3,3,82.5
Super built-up  Area,Ready To Move,Koramangala,2,Vaanda ,1120,2,0,65
Super built-up  Area,Ready To Move,Marathahalli,4,Sutte C,2181,3,2,152
Plot  Area,Ready To Move,Vidyaranyapura,4,,1200,4,0,90
Plot  Area,Ready To Move,Nagondanahalli,6,,600,4,3,65
Super built-up  Area,Not yet Ready,Bannerghatta Road,3,DSnjh S,1556,2,1,59.13
Super built-up  Area,Not yet Ready,Bannerghatta Road,2,Hiatei ,1179,2,1,66.02
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1296,2,2,83
Built-up  Area,Ready To Move,Kaggadasapura,2,VSomepi,1275,2,2,52
Built-up  Area,Ready To Move,Kalasipalya,7,,1875,2,2,300
Super built-up  Area,Ready To Move,Kathriguppe,3,,1400,2,2,77
Super built-up  Area,Ready To Move,Gottigere,2,Krryll ,1222,2,1,63
Super built-up  Area,Ready To Move,Electronic City,2,Palleon,940,2,1,41
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.6
Super built-up  Area,Ready To Move,Tumkur Road,3,Soite E,1779,3,2,112
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1615,3,2,59.76
Super built-up  Area,Not yet Ready,JP Nagar,4,Pehtsa ,5249,,,453
Super built-up  Area,Ready To Move,Haralur Road,2,Zostaa ,1056,2,1,61
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1100,2,0,46
Built-up  Area,Ready To Move,Arekere,2,Prdowth,920,2,1,40
Super built-up  Area,Ready To Move,ITI Layout,3,BMityre,1602,2,0,75
Built-up  Area,Ready To Move,Padmanabhanagar,2,,1176,2,0,62
Plot  Area,Ready To Move,HBR Layout,4,,675,3,1,59
Super built-up  Area,Ready To Move,Richmond Town,3,,1352,3,0,135
Built-up  Area,Ready To Move,Kasavanhalli,3,HMonymp,1717,3,3,99
Plot  Area,Not yet Ready,4  Farm House in Bagalur,4,,10961,4,1,80
Super built-up  Area,Not yet Ready,Bhoganhalli,4,Rosha I,2119,4,3,111
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,67.3
Super built-up  Area,Not yet Ready,Anandapura,2,ViensRK,1141,2,1,42.79
Built-up  Area,Ready To Move,Hennur Road,2,,1157,2,1,84
Super built-up  Area,Not yet Ready,Chandapura,2,SuVue S,1025,2,2,27.68
Built-up  Area,Ready To Move,Yelahanka New Town,1,KHatsFl,650,1,2,33
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,98
Super built-up  Area,Ready To Move,Narayanapura,3,Veodsar,1566,3,1,83.3
Super built-up  Area,Ready To Move,Sahakara Nagar,4,OsrdsOr,2830,3,3,195
Built-up  Area,Not yet Ready,Electronic City,3,,1320,2,1,38.13
Super built-up  Area,Not yet Ready,manyata park,3,,1780,3,1,84.83
Super built-up  Area,Ready To Move,Varthur,2,Hirio L,1091,2,1,34.9
Super built-up  Area,Ready To Move,Rachenahalli,4,Leino C,3670,4,3,300
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,,918,2,1,50.49
Super built-up  Area,Not yet Ready,Yeshwanthpur,4,Detat H,1950,4,0,130
Super built-up  Area,Ready To Move,Panathur,3,,1695,3,1,90
Super built-up  Area,Ready To Move,Yelahanka,3,Shana S,1705,3,2,95
Built-up  Area,Ready To Move,Kalyan nagar,3,Disical,1375,3,2,75
Super built-up  Area,Not yet Ready,Kanakpura Road,1,PrarePa,525,1,1,30
Built-up  Area,Not yet Ready,Whitefield,2,,1447,2,1,83
Super built-up  Area,Ready To Move,Thanisandra,2,SLaceda,1114,2,1,39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brsiaen,1450,2,1,100
Super built-up  Area,Ready To Move,Belathur,2,,460,1,0,15
Built-up  Area,Ready To Move,Vasanthapura,2,,1022,2,2,40
Built-up  Area,Ready To Move,Hebbal,2,Ratlet ,1000,2,2,45
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1128,2,1,68.75
Super built-up  Area,Not yet Ready,Kanakpura Road,2,Wiowsri,1180,2,2,57
Built-up  Area,Ready To Move,TC Palaya,6,,1000,6,1,69
Plot  Area,Ready To Move,Nagarbhavi,2,,1200,2,1,150
Super built-up  Area,Ready To Move,Sadashiva Nagar,3,,3761,3,2,660
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,3,75
Super built-up  Area,Ready To Move,Yelachenahalli,3,,1400,2,3,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,SrncyRe,1040,2,1,39.52
Super built-up  Area,Ready To Move,Kadugodi,2,,1198,2,2,58
Plot  Area,Ready To Move,Shirdi Sai Layout,4,,1200,3,,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1691,3,2,113
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,3,2,36
Super built-up  Area,Not yet Ready,1st Block Jayanagar,3,,1630,3,2,194
Super built-up  Area,Not yet Ready,8th Phase JP Nagar,3,,1240,3,2,43.5
Super built-up  Area,Not yet Ready,Bannerghatta Road,2,PrarePa,1130,2,0,58.935
Super built-up  Area,Ready To Move,Mallasandra,3,Puestig,1665,3,2,86.58
Built-up  Area,Ready To Move,Marathahalli,3,Bintsee,2489,3,,94
Built-up  Area,Ready To Move,Brookefield,2,Mapleer,1142,2,2,70
Super built-up  Area,Ready To Move,Kodbisanhalli,3,Diacee ,1976,3,1,184
Plot  Area,Ready To Move,Sathya Sai Layout,4,Prowshi,5500,4,,600
Super built-up  Area,Ready To Move,Kothannur,3,,1853,3,2,82
Plot  Area,Ready To Move,Vijayanagar,8,,600,4,1,72
Super built-up  Area,Ready To Move,Kasturi Nagar,2,,1567,2,2,92
Super built-up  Area,Ready To Move,Talaghattapura,2,,1090,2,1,27.24
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6,,1200,4,2,125
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4,,2400,4,1,640
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Shitt S,1175,2,2,51.47
Built-up  Area,Ready To Move,Subramanyapura,2,DSagax ,1200,2,2,52
Built-up  Area,Ready To Move,Kodichikkanahalli,2,Prs 2hi,995,2,1,41
Super built-up  Area,Ready To Move,Magadi Road,2,Vrenty ,884,2,1,41.1
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5,,900,3,2,80
Built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,1170,2,2,57
Super built-up  Area,Ready To Move,KR Puram,2,LVniaar,1225,2,1,46.55
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1342,2,1,73.3
Built-up  Area,Not yet Ready,Uttarahalli,2,,1345,2,1,67
Built-up  Area,Ready To Move,Kodigehaali,3,Shyas S,1320,3,0,65
Super built-up  Area,Ready To Move,Singapura Village,2,,1100,2,,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,49.39
Super built-up  Area,Ready To Move,Battarahalli,2,Sancy L,1300,2,1,50
Super built-up  Area,Ready To Move,Hosa Road,3,,1652,3,2,85
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,142
Built-up  Area,Ready To Move,Arekere,3,,1740,2,,95
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,71
Super built-up  Area,Ready To Move,Hosur Road,3,Sueneu ,1145,2,2,60
Built-up  Area,Ready To Move,Uttarahalli,3,Laihai ,1540,2,0,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Adeatlm,1278,2,2,95
Super built-up  Area,Not yet Ready,Electronic City Phase II,1,SNbay G,630,1,1,40
Super built-up  Area,Not yet Ready,Kanakpura Road,3,PrarePa,1100,3,2,58
Plot  Area,Ready To Move,Bendiganahalli,3,Brersld,1200,3,0,95
Built-up  Area,Ready To Move,Hosakerehalli Layout,7,,2500,6,2,115
Super built-up  Area,Not yet Ready,Chandapura,1,SuVue S,645,1,0,15.135
Super built-up  Area,Not yet Ready,Chandapura,2,SunceEs,1015,2,2,25.88
Built-up  Area,Ready To Move,Hosur Road,5,,3300,5,2,240
Plot  Area,Ready To Move,Basaveshwara Nagar,5,,4500,5,1,415
Super built-up  Area,Ready To Move,Gunjur,3,,1356,2,3,66
Super built-up  Area,Ready To Move,Hennagara,2,,823,2,1,28
Plot  Area,Ready To Move,TC Palaya,3,,1200,2,0,66
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,,1050,2,0,37
Super built-up  Area,Ready To Move,Ferrar Nagar,2,Leton A,1180,2,1,69
Super built-up  Area,Ready To Move,Whitefield,2,Sonviik,1116,2,3,51.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,SrncyRe,1070,2,1,42.79
Super built-up  Area,Not yet Ready,Varthur,2,Uptusol,1385,2,3,80
Plot  Area,Ready To Move,Varthur,1,,1000,1,1,70
Built-up  Area,Not yet Ready,Whitefield,3,,1897,3,2,130
Super built-up  Area,Not yet Ready,Magadi Road,2,Vrenty ,1005,2,1,55.78
Super built-up  Area,Ready To Move,Green Glen Layout,3,Soinequ,1575,3,2,125
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,975,2,1,65
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1904,3,2,120
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1,,930,1,1,30
Super built-up  Area,Not yet Ready,Kanakpura Road,1,PrarePa,525,1,1,26
Super built-up  Area,Ready To Move,BAGUR,1,,686,1,1,17
Plot  Area,Ready To Move,Electronic City Phase II,2,Daosts ,2400,3,1,150
Plot  Area,Ready To Move,8th block Koramangala,2,,1410,1,0,233
Built-up  Area,Not yet Ready,Sarjapur  Road,3,,2238,3,1,140
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1174,2,1,69
Built-up  Area,Ready To Move,Thubarahalli,4,,3800,4,3,239
Super built-up  Area,Ready To Move,Whitefield,3,UKe 2nz,2225,2,1,125
Super built-up  Area,Ready To Move,M.G Road,2,SontsAp,1250,2,0,200
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,52
Super built-up  Area,Ready To Move,Mahadevpura,2,,1250,2,3,52
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maantr ,1800,3,,110
Built-up  Area,Ready To Move,Marathahalli,2,Foodasa,1170,2,3,53
Super built-up  Area,Ready To Move,Byatarayanapura,1,,1300,1,0,200
Built-up  Area,Ready To Move,Bannerghatta Road,2,,793,2,1,45
Super built-up  Area,Ready To Move,Jakkur,3,BrdgeNo,1710,3,2,107
Super built-up  Area,Ready To Move,Kambipura,3,Prrtht ,1082,2,1,57.5
Super built-up  Area,Not yet Ready,Naganathapura,2,,1001,2,2,33.03
Built-up  Area,Ready To Move,Srinivasa Nagar,4,,1500,4,,180
Super built-up  Area,Ready To Move,Yelahanka,3,,1590,2,1,54
Super built-up  Area,Ready To Move,Basavanagara,3,,2400,2,0,80
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3,Asorai ,1554,3,2,55
Super built-up  Area,Not yet Ready,Thanisandra,2,Omter A,1285,2,0,43.415
Super built-up  Area,Ready To Move,Bellandur,5,,4239,5,2,423
Built-up  Area,Ready To Move,Konanakunte,2,,884,1,0,58
Super built-up  Area,Not yet Ready,Hosa Road,2,Skume R,1045,2,1,98.89
Super built-up  Area,Ready To Move,Marathahalli,2,,1019,2,2,49.86
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,1935,4,2,130
Super built-up  Area,Ready To Move,Uttarahalli,3,,1135,2,2,39.73
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1680,3,2,150
Super built-up  Area,Not yet Ready,Hebbal,4,Raard B,2470,5,2,247
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,Prhtsok,2825,4,3,250
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2480,3,1,330
Plot  Area,Ready To Move,5th Phase JP Nagar,9,,1260,11,,290
Plot  Area,Ready To Move,Ramamurthy Nagar,5,,1800,4,3,187
Built-up  Area,Ready To Move,Kasavanhalli,3,Ocrda M,1799,3,3,90
Super built-up  Area,Ready To Move,Whitefield,4,PrOakSi,5091,,,304
Built-up  Area,Ready To Move,Attibele,1,Jae 2hu,400,1,1,11
Built-up  Area,Not yet Ready,Kundalahalli,2,Dieldli,1047,2,1,82
Super built-up  Area,Ready To Move,Kaverappa Layout,2,Kesomrn,1282,2,2,87
Super built-up  Area,Ready To Move,NGR Layout,2,,1020,2,1,45.9
Plot  Area,Ready To Move,Kammanahalli,4,,1080,3,1,155
Super built-up  Area,Ready To Move,Whitefield,2,UKe 2nz,1495,2,1,79.5
Built-up  Area,Ready To Move,Kasavanhalli,4,Vaidsi ,3260,4,1,240
Super built-up  Area,Not yet Ready,Divya Unnathi Layout,3,,1611,2,2,64.44
Super built-up  Area,Ready To Move,Koramangala,4,K ncy R,3500,5,2,425
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3,,1500,2,2,95
Super built-up  Area,Ready To Move,Sahakara Nagar,3,EsniaGa,1500,2,2,95
Plot  Area,Ready To Move,Yelahanka,4,Aaire S,3206,5,,270
Super built-up  Area,Ready To Move,Uttarahalli,3,Laihai ,1540,3,0,50
Super built-up  Area,Not yet Ready,Hosa Road,3,Pamesy ,1639,3,1,80
Plot  Area,Ready To Move,Marathahalli,4,,700,4,,72
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,2,55.79
Super built-up  Area,Ready To Move,Koramangala,2,K ncy R,1005,1,1,110
Super built-up  Area,Ready To Move,Kammasandra,1,Puitea ,665,1,0,18.41
Super built-up  Area,Not yet Ready,Chandapura,3,SunceEs,1305,3,1,33.28
Plot  Area,Ready To Move,Kothannur,3,,600,4,0,95
Super built-up  Area,Ready To Move,sapthagiri Layout,2,,1300,1,1,115
Super built-up  Area,Ready To Move,Brookefield,3,Saowson,1440,2,3,68
Super built-up  Area,Not yet Ready,Seegehalli,2,,901,2,1,35.14
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1725,3,3,200
Built-up  Area,Ready To Move,Sarjapur,3,,900,2,1,42
Super built-up  Area,Ready To Move,BEML Layout,2,,1060,2,1,55
Super built-up  Area,Ready To Move,NGR Layout,2,,1020,2,1,48.45
Super built-up  Area,Not yet Ready,Varthur,3,Myple M,1535,3,2,65.99
Built-up  Area,Ready To Move,Alur,1,,530,1,1,20
Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56
Super built-up  Area,Ready To Move,Devarabisanahalli,2,Spdoren,1350,2,3,80
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1115,2,2,50
Super built-up  Area,Ready To Move,Uttarahalli,2,,1175,2,2,47
Built-up  Area,Ready To Move,Whitefield,2,,1113,2,1,62
Plot  Area,Ready To Move,Uttarahalli,6,,1200,4,2,225
Plot  Area,Ready To Move,Ramamurthy Nagar,5,,1640,4,3,240
Built-up  Area,Ready To Move,Giri Nagar,2,Spanda ,650,2,0,42
Super built-up  Area,Ready To Move,Marathahalli,2,,1325,2,2,71.55
Built-up  Area,Ready To Move,Electronics City Phase 1,2,Shelash,950,2,3,31
Super built-up  Area,Not yet Ready,Jakkur,3,,1396,2,1,86.51
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.07
Super built-up  Area,Ready To Move,Thanisandra,3,,1825,3,2,100
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Vasta C,1190,2,1,49.98
Super built-up  Area,Ready To Move,Marathahalli,2,,1220,2,1,56.5
Super built-up  Area,Ready To Move,NRI Layout,3,,1565,2,2,75
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1891,3,1,109
Built-up  Area,Ready To Move,Sidedahalli,2,,900,2,0,27
Super built-up  Area,Not yet Ready,Hosa Road,2,Mahesr ,1161,2,1,55.15
Super built-up  Area,Ready To Move,Sarjapur,1,DSousyl,666,1,0,17.535
Plot  Area,Ready To Move,Dwarka Nagar,8,,2400,6,3,125
Plot  Area,Ready To Move,Rajaji Nagar,4,,715,4,2,90
Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,665,1,1,36.85
Super built-up  Area,Not yet Ready,Mysore Road,2,,1175,2,1,73.5
Built-up  Area,Ready To Move,Hoodi,2,Goeur G,1425,2,2,80
Plot  Area,Ready To Move,Chikkabanavar,1,,1200,1,0,20
Plot  Area,Not yet Ready,ITPL,3,,1200,3,1,56.12
Built-up  Area,Ready To Move,Somasundara Palya,2,Abeesmi,1255,2,2,67
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoisoCa,2112.95,4,2,145
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1,,600,1,1,22
Super built-up  Area,Not yet Ready,Haralur Road,3,SNnia E,1810,3,2,100
Super built-up  Area,Ready To Move,Indira Nagar,2,,1200,2,2,93
Super built-up  Area,Ready To Move,Harlur,2,,1033,2,2,49
Super built-up  Area,Ready To Move,ITPL,3,,1548,3,2,89.5
Super built-up  Area,Not yet Ready,Horamavu Banaswadi,3,,1611,3,3,66
Built-up  Area,Not yet Ready,Electronic City Phase II,3,Sryalan,1400,2,1,40.43
Super built-up  Area,Ready To Move,Vidyaranyapura,3,Graceik,1485,2,2,67
Built-up  Area,Ready To Move,Margondanahalli,2,,2400,2,1,82
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,Shvarji,1025,2,1,44.5
Plot  Area,Ready To Move,Thurahalli,4,,600,3,2,65
Super built-up  Area,Ready To Move,Hallehalli,2,,1225,2,,53
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1256,2,1,62.8
Super built-up  Area,Ready To Move,Whitefield,4,ArsiaEx,2268,3,2,163
Super built-up  Area,Not yet Ready,Kanakpura Road,3,PrarePa,1100,3,2,53
Super built-up  Area,Ready To Move,Vadarpalya,2,VMianri,1141,2,0,62
Built-up  Area,Ready To Move,Attibele,1,Jae 1hu,400,1,1,12
Plot  Area,Ready To Move,Chandapura,2,,1400,2,0,60
Super built-up  Area,Ready To Move,Kattigenahalli,7,,4100,7,,140
Plot  Area,Not yet Ready,Marathi Layout,1,,5031,1,0,110
Carpet  Area,Ready To Move,Weavers Colony,1,,800,1,0,30
Super built-up  Area,Ready To Move,Raghavendra Nagar,2,,1175,2,2,48.27
Super built-up  Area,Ready To Move,Sahakara Nagar,2,,1100,2,1,56
Super built-up  Area,Ready To Move,Kanakpura Road,3,Puestol,1843,3,2,95.84
Plot  Area,Ready To Move,1st Phase JP Nagar,8,,1200,7,2,240
Super built-up  Area,Not yet Ready,Horamavu Banaswadi,2,,1460,2,1,80.5
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.5
Built-up  Area,Ready To Move,HSR Layout,2,,1467,2,1,55
Super built-up  Area,Ready To Move,KR Layout,1,,950,1,1,40
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,64.5
Super built-up  Area,Not yet Ready,Kanakapura,1,GoityEt,711,1,1,38
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1194,2,2,46
Super built-up  Area,Ready To Move,Babusapalaya,3,ARngsd ,1358,2,1,43.4
Carpet  Area,Ready To Move,Nagasandra,6,,1500,5,1,130
Super built-up  Area,Ready To Move,Hoodi,2,Goeur G,1420,2,2,75
Super built-up  Area,Ready To Move,Kathriguppe,3,,1250,2,1,68.75
Built-up  Area,Ready To Move,Akshaya Nagar,2,,1280,2,,58
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2,Gruesaf,1209,2,1,50
Built-up  Area,Ready To Move,Kempapura,5,,4200,5,2,225
Plot  Area,Ready To Move,BTM 1st Stage,4,,1215,4,3,205
Super built-up  Area,Ready To Move,Panathur,3,Saite G,1315,2,1,54.8
Super built-up  Area,Ready To Move,Kariyammana Agrahara,3,,1800,3,3,90
Built-up  Area,Ready To Move,Hessarghatta,5,,1600,4,0,125
Super built-up  Area,Ready To Move,TC Palaya,3,RKncyha,1600,2,2,65
Plot  Area,Ready To Move,Binnamangala,6,,3968,5,2,900
Super built-up  Area,Ready To Move,Suraksha Nagar,3,AritaFe,1563,3,2,52
Super built-up  Area,Ready To Move,Whitefield,3,SRidePr,1560,2,2,72
Super built-up  Area,Ready To Move,Brookefield,3,Krrbsil,2169,4,,115
Plot  Area,Ready To Move,Lakshmi Layout,9,,900,10,,170
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,55.5
Super built-up  Area,Ready To Move,Iblur Village,3,Emine P,3235,3,1,235
Plot  Area,Ready To Move,TC Palaya,3,,1200,3,0,66
Super built-up  Area,Ready To Move,HSR Layout,2,NRosete,1140,2,2,46
Plot  Area,Ready To Move,7th Phase JP Nagar,3,,1500,3,1,170
Super built-up  Area,Ready To Move,Horamavu Agara,3,,1560,3,2,75
Super built-up  Area,Ready To Move,JP Nagar,2,Saowsri,1100,2,2,70
Super built-up  Area,Ready To Move,Kasavanhalli,3,,1260,2,3,40.32
Super built-up  Area,Not yet Ready,Hebbal,2,Arcia S,1036,2,1,50
Built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1662,3,3,85.1
Super built-up  Area,Ready To Move,Yelachenahalli,3,PuontBe,1464,2,3,105
Super built-up  Area,Ready To Move,Yelahanka,2,NCowsar,1234,2,2,80
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Arldsyo,1403,3,1,55
